2020-11-25 22:48:44,030.30  | VALIDATOR  | INFO | ------------------------------------------------
2020-11-25 22:58:33,019.19  | VALIDATOR  | INFO | 136819-instance-150.txt
2020-11-25 22:58:33,019.19  | VALIDATOR  | INFO | 136819-algorithm.exe
2020-11-25 22:58:33,250.250  | VALIDATOR  | INFO | ------------------------------------------------

2020-11-25 22:58:33,250.250  | VALIDATOR  | INFO | 136819-instance-200.txt
2020-11-25 22:58:33,250.250  | VALIDATOR  | INFO | 136819-algorithm.exe
2020-11-25 22:58:33,454.454  | VALIDATOR  | INFO | ------------------------------------------------

2020-11-25 22:58:33,454.454  | VALIDATOR  | INFO | 136819-instance-250.txt
2020-11-25 22:58:33,454.454  | VALIDATOR  | INFO | 136819-algorithm.exe
2020-11-25 22:58:33,672.672  | VALIDATOR  | INFO | ------------------------------------------------

2020-11-25 22:58:33,672.672  | VALIDATOR  | INFO | 136819-instance-300.txt
2020-11-25 22:58:33,672.672  | VALIDATOR  | INFO | 136819-algorithm.exe
2020-11-25 22:58:33,873.873  | VALIDATOR  | INFO | ------------------------------------------------

2020-11-25 22:58:33,873.873  | VALIDATOR  | INFO | 136819-instance-350.txt
2020-11-25 22:58:33,873.873  | VALIDATOR  | INFO | 136819-algorithm.exe
2020-11-25 22:58:34,073.73  | VALIDATOR  | INFO | ------------------------------------------------

2020-11-25 22:58:34,073.73  | VALIDATOR  | INFO | 136819-instance-400.txt
2020-11-25 22:58:34,073.73  | VALIDATOR  | INFO | 136819-algorithm.exe
2020-11-25 22:58:34,289.289  | VALIDATOR  | INFO | ------------------------------------------------

2020-11-25 22:58:34,289.289  | VALIDATOR  | INFO | 136819-instance-450.txt
2020-11-25 22:58:34,289.289  | VALIDATOR  | INFO | 136819-algorithm.exe
2020-11-25 22:58:34,521.521  | VALIDATOR  | INFO | ------------------------------------------------

2020-11-25 22:58:34,521.521  | VALIDATOR  | INFO | 136819-instance-50.txt
2020-11-25 22:58:34,521.521  | VALIDATOR  | INFO | 136819-algorithm.exe
2020-11-25 22:58:34,737.737  | VALIDATOR  | INFO | ------------------------------------------------

2020-11-25 22:58:34,737.737  | VALIDATOR  | INFO | 136819-instance-500.txt
2020-11-25 22:58:34,737.737  | VALIDATOR  | INFO | 136819-algorithm.exe
2020-11-25 22:58:41,581.581  | VALIDATOR  | INFO | ------------------------------------------------

2020-11-25 22:58:41,581.581  | VALIDATOR  | INFO | 136819-instance-100.txt
2020-11-25 22:58:41,581.581  | VALIDATOR  | INFO | 136819-algorithm.exe
2020-11-25 22:58:42,419.419  | VALIDATOR  | INFO | --------------- Czas algorytmu: 0.0
2020-11-25 22:58:42,419.419  | VALIDATOR  | INFO | CORRECT  Actual value: 99.44
2020-11-25 22:58:42,635.635  | VALIDATOR  | INFO | ------------------------------------------------

2020-11-25 22:58:42,635.635  | VALIDATOR  | INFO | 136819-instance-150.txt
2020-11-25 22:58:42,635.635  | VALIDATOR  | INFO | 136819-algorithm.exe
2020-11-25 22:58:43,453.453  | VALIDATOR  | INFO | --------------- Czas algorytmu: 0.0
2020-11-25 22:58:43,453.453  | VALIDATOR  | INFO | CORRECT  Actual value: 77.73
2020-11-25 22:58:43,654.654  | VALIDATOR  | INFO | ------------------------------------------------

2020-11-25 22:58:43,654.654  | VALIDATOR  | INFO | 136819-instance-200.txt
2020-11-25 22:58:43,654.654  | VALIDATOR  | INFO | 136819-algorithm.exe
2020-11-25 22:58:44,485.485  | VALIDATOR  | INFO | --------------- Czas algorytmu: 0.0
2020-11-25 22:58:44,485.485  | VALIDATOR  | INFO | CORRECT  Actual value: 190.47
2020-11-25 22:58:44,669.669  | VALIDATOR  | INFO | ------------------------------------------------

